,№ п/п,Номер ТП,Адрес ТП,Вид ТП,Тип по размещению,Источник теплоснабжения,Административный округ (ТП),Муниципальный район,Дата ввода в эксплуатацию,Балансодержатель,Адрес строения,Тепловая нагрузка ГВС ср.,Тепловая нагрузка ГВС факт.,Тепловая нагрузка отопления строения,Тепловая нагрузка вентиляции строения,Диспетчеризация
106,107,04-06-0615/043,"Алтайская ул., д.13А",ИТП,Подвальное,ТЭЦ №23,Восточный,район Гольяново,2009-09-01,ПАО «МОЭК»,"Алтайская ул., д.13А",0.0291,0.10185,0.087,0.100415,нет
107,108,04-03-0223/024,"Новогиреевская ул., д.24, корп.1",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,2003-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.24, корп.1",0.2239,0.49999,0.385,0.0,да
108,109,04-01-0614/010,"Халтуринская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Халтуринская ул., д.20",0.434,0.9548,0.83,0.0,да
109,110,04-01-0614/010,"Халтуринская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Халтуринская ул., д.16",0.05,0.175,0.176,0.67,да
110,111,04-01-0614/010,"Халтуринская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Халтуринская ул., д.18",0.518,1.1644599,0.842,0.235,да
111,112,04-06-0603/018,"Щёлковское шоссе, д.32",ИТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.32",0.12,0.264,0.26,0.0,да
112,113,04-01-0607/046,"Преображенская пл., д.2",ИТП,Подвальное,ТЭЦ №23,Восточный,район Преображенское,2008-02-21,ПАО «МОЭК»,"Преображенская пл., д.2",0.0,0.0,0.158,0.0,да
113,114,04-02-0422/011,"Щербаковская ул., д.40",ИТП,Встроенное,ТЭЦ №11,Восточный,район Соколиная Гора,1955-01-01,ПАО «МОЭК»,"Щербаковская ул., д.40",0.35781,0.803978,1.32719,0.0,да
114,115,04-03-0221/028,"ул. Плеханова, д.29, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,2003-01-01,ПАО «МОЭК»,"ул. Плеханова, д.29, корп.1",0.3573,0.78606,0.9562,0.0,да
115,116,04-03-0221/028,"ул. Плеханова, д.29, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,2003-01-01,ПАО «МОЭК»,"ул. Плеханова, д.29, корп.2",0.3045,0.6699,0.7625,0.0,да
116,117,04-03-0209/091,"3-я Владимирская ул., д.5",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1962-01-01,ПАО «МОЭК»,"3-я Владимирская ул., д.5",0.03,0.105,0.24,0.0,нет
117,118,04-06-0601/045,"Хабаровская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Красноярская ул., д.17",0.65,1.43351,1.279,0.0,да
118,119,04-06-0601/045,"Хабаровская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Хабаровская ул., д.22, корп.2",0.18,0.396,0.4,0.0,да
119,120,04-06-0601/045,"Хабаровская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Хабаровская ул., д.20",0.19,0.418,0.38,0.0,да
120,121,04-06-0601/045,"Хабаровская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Хабаровская ул., д.22, корп.1",0.19,0.418,0.38,0.0,да
121,122,04-06-0601/045,"Хабаровская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Красноярская ул., д.17А",0.05,0.175,0.25,0.04,да
122,123,04-06-0601/045,"Хабаровская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Хабаровская ул., д.22, корп.3",0.18,0.396,0.4,0.0,да
123,124,04-06-0601/045,"Хабаровская ул., д.20, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Хабаровская ул., д.24",0.18,0.41082,0.381,0.0,да
124,125,04-06-0601/054-3,"Главная ул., д.13, стр.3",ИТП,Подвальное,ТЭЦ №23,Восточный,район Восточный,2015-01-01,ПАО «МОЭК»,"Главная ул., д.13, стр.3",0.427,1.4945,0.153,0.2274,нет
125,126,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Суворовская ул., д.29, стр.7",0.0,0.0,0.0,0.0,да
126,127,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Буженинова ул., д.51, стр.2",0.0,0.0,0.0,0.0,да
127,128,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Буженинова ул., д.26/6",0.08,0.176,0.22,0.0,да
128,129,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Электрозаводская ул., д.46, стр.2",0.0,0.0,0.0,0.0,да
129,130,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Буженинова ул., д.51, стр.1",0.0,0.0,0.02,0.0,да
130,131,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Электрозаводская ул., д.52, стр.21",0.0,0.0,1.0,1.4,да
131,132,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Суворовская ул., д.29, стр.1",0.02,0.07,0.102,0.0,да
132,133,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Электрозаводская ул., д.32",0.26,0.572,0.64,0.0,да
133,134,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Суворовская ул., д.29, стр.8",0.0,0.0,0.035,0.0,да
134,135,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Суворовская ул., д.29, стр.9",0.0,0.0,0.012,0.0,да
135,136,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Суворовская ул., д.29, стр.6",0.0,0.0,0.022,0.0,да
136,137,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Электрозаводская ул., д.32А",0.009,0.0315,0.0702,0.0728,да
137,138,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Электрозаводская ул., д.46, стр.1",0.0,0.0,0.0,0.0,да
138,139,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Электрозаводская ул., д.28, стр.2",0.0,0.0,0.0,0.0,да
139,140,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Суворовская ул., д.29, стр.2",0.0,0.0,0.009,0.0,да
140,141,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Суворовская ул., д.29, стр.5",0.0,0.0,0.0,0.0,да
141,142,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Электрозаводская ул., д.28",0.0,0.0,0.0,0.0,да
142,143,04-01-0607/075,"Электрозаводская ул., д.32, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1996-01-01,ПАО «МОЭК»,"Электрозаводская ул., д.28, стр.3",0.0,0.0,0.0,0.0,да
143,144,04-04-0212/049,"Вешняковская ул., д.12Д",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1977-01-01,ПАО «МОЭК»,"Вешняковская ул., д.12Д, стр.1",0.008,0.028,0.06,0.1,да
144,145,04-04-0212/049,"Вешняковская ул., д.12Д",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1977-01-01,ПАО «МОЭК»,"Вешняковская ул., д.12Г",0.0099,0.03465,0.119,0.05,да
145,146,04-04-0212/049,"Вешняковская ул., д.12Д",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1977-01-01,ПАО «МОЭК»,"Вешняковская ул., д.12Б",0.006,0.021,0.03,0.02,да
146,147,04-04-0212/049,"Вешняковская ул., д.12Д",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1977-01-01,ПАО «МОЭК»,"Вешняковская ул., д.12Д",0.02,0.07,0.041,0.0,да
147,148,04-04-0212/049,"Вешняковская ул., д.12Д",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1977-01-01,ПАО «МОЭК»,"Вешняковская ул., д.12Б, стр.1",0.02,0.07,0.043,0.06,да
148,149,04-04-0212/049,"Вешняковская ул., д.12Д",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1977-01-01,ПАО «МОЭК»,"Вешняковская ул., д.12Ж",0.0355,0.12425,0.07,0.01,да
149,150,04-04-0212/049,"Вешняковская ул., д.12Д",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1977-01-01,ПАО «МОЭК»,"Вешняковская ул., д.12А",0.021,0.0735,0.04,0.0,да
150,151,04-02-0609/044,"Борисовская ул., д.10А",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Соколиная Гора,1950-01-01,ПАО «МОЭК»,"Борисовская ул., д.10А",0.05,0.1119955,0.13,0.0,да
151,152,04-02-0609/044,"Борисовская ул., д.10А",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Соколиная Гора,1950-01-01,ПАО «МОЭК»,"Борисовская ул., д.12",0.0,0.0,0.12,0.0,да
152,153,04-02-0608/021,"Колодезная ул., д.7, корп.8, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1980-01-01,ПАО «МОЭК»,"Колодезная ул., д.7, корп.6",0.085,0.187,0.24,0.0,да
153,154,04-02-0608/021,"Колодезная ул., д.7, корп.8, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1980-01-01,ПАО «МОЭК»,"ул. Короленко, д.7, корп.2",0.114,0.251528,0.27,0.0,да
